,eng,jp
28276,i was referred to you by numatasan at hard act.,私 ハードアクトの 沼田さんから ご紹介を
28277,there's the fourth one.,四体目
28278,what's happening in education.,教育の場を人間的にすることです
28279,isn't that quite irresponsible?,そんな 無責任じゃないですか!
28280,"on it, it extracts information from it, and it",光情報を抽出して
28281,they train them and they supervise them,利権料と引き換えに
28282,even i do not want to use a computer at all.,私だって パソコンが まったく 使えないわけじゃないのよ。➡
28283,the cycle of rebirth,真亏你能钻得进床底下
28284,"mm, delicious!",おいしい! うんッ おいしい!
28285,you can't be both guys.,二役はムリよ
28286,i always wanted to get revenge on those who oppressed me.,わたしは ずっと わたしを虐げたものに
28287,allowed for toleration of burrowmates.,同居する仲間の忍耐力を高めます
28288,"ginsan! a ticket, a ticket!",だから 切符 買う金すらねえんだよ。
28289,they are holding hands.,《あっ 手 握った》
28290,your victim was a highprofile u.s. attorney.,被害者は 注目されてる弁護士
28291,"wait a minute, wait a minute.",ちょっと待ってくれよ
28292,"last year, i returned, destroyed division, and freed those who remained.",そして、昨年... ディビジョンを破壊し 中の人達を解放しました
28293,as what? it offers that your wife don't hear you speak this way.,奥さんが聞いたら 大変よ
28294,"gosh, this is salty!",ゴホッ ゴホッ... しょっぱいな!
28295,i'm not becoming your apprentice.,あなたの弟子には なりません
28296,enough of this shit.,ふざけるな
28297,thanks for coming.,お陰で趣味に打ち込む 時間が出来た
28298,hey wait! don't throw them out!,ちょ ちょ ちょ...。 捨てないでください!
28299,he's still out there. i know it.,R2がまだどっかにいるよ、間違えない
28300,the military was simply conducting an underwater weapons test.,軍の水中兵器試験を 実施しただけだ
28301,what kind of gift?,どんな贈り物?
28302,"yeah, well, i needed some time here because i'm deep into this investigation and couldn't do both, so i made a judgment call.",この件を調べるために 時間が必要だった 両方は無理だ だから断った
28303,"you know, sean, i was, i was gonna be there.",よく来てくれたな
28304,an emotional response that allows people,感情的に反応して
28305,there's no reason to go home.,そうです 帰っても意味がないです
28306,then make a prediction for me.,じゃあ ぼくに予言してみてよ
28307,thank you guys!,bf: みなさんどうもありがとう
28308,there is no problem.,問題ありません。 オーケー。
28309,but cutting the flesh makes him have a husband's bulge.. and i do not get like that.,でも肉を切ると彼らの股間が 膨らむのが好きではない
28310,now... matters are worse.,さて... 困ったことになったわ
28311,our primate instincts.,私たちの霊長類の本能に刻み込まれている点です
28312,i'm calling because i want to see you tomorrow.,明日君に会いたいんだ
28313,wait for the kids.,子供達を待って
28314,oh my boyfriend,あら こっちにかかってきています
28315,"an editor, huh?",画家なら ともかく マンガ家の手伝いなんて
28316,that little bitch.,かすり傷だろ
28317,take the packet in front of you.,目の前にあるパンフレットを手に取って
28318,is this!?,これは... 遊星。
28319,"so, go and get as many garden hoses as you can.",まだ水道は出るんだな?
28320,next is my opponent draw.,次は私が相手よ ドロー。
28321,this is your inflight meal.,君の... 機内食
28322,the legend of the sea,体調は
28323,"finally it reached liz noguches, home of aizen.",ついに藍染の本拠地 ラス・ノーチェスに たどり着いた。
28324,let's go back to the guards. tell me about their uniforms.,看守の件に戻ります 彼らの制服はどのようなものか教えて下さい
28325,"barry, listen to me, you gotta get somewhere safe, man.",いいから 逃げて
28326,"and, bumper, huge fan.",そして、bumper、大ファン。
28327,though my one regret is that i have to spend the precious days of my youth as your girlfriend.,ただ 惜しむらくは その青春の大切な日々を
28328,think for a moment about what it means to feel right.,正しく感じる瞬間とは
28329,now i know.,いまは分かる
28330,could it be arson?,放火だったのかしら?
28331,"she says, no, you're fat and you're heavy.","彼女が言うには ""違うわ、あんたはデブで重いの."
28332,it's nice we get to hang out.,私も本当に嬉しいわ
28333,i'm really sorry about the board's recommendation,委員会の決定は本当に残念だ-
28334,let's watch tv.,テレビでも観よう
28335,i wanted to make sure you felt the same.,貴方の気持ちを確かめておきたくて
28336,"please, stop kicking!",蹴るのはやめて
28337,"we get it, walter. can i turn this off now?",分かったよ ウォルター 切っていいかい?
28338,"on the other pulse, he saw something different.",もう1つは 別のものを見た ということを示すものです
28339,isn't that good? if you decided that...,いいんじゃない? 桜子がそう決めたんなら。
28340,pity.,哀れなことに
28341,mmmhmm? what happened?,何があった?
28342,as i walkalkalk,・「歩こう」
28343,"and it happens to be 3,000 years old.","樹齢3,000年ほどです"
28344,because without having this possibility of conscious minds,こんな意識ある心の能力がなければ
28345,"and to you, of course... as the chosen representative of the seven.",もちろん、あなたにもね 神々より選ばれし者
28346,an error in judgment.,判断ミスだ
28347,to understand how the brain processes language,解明しようとする科学者のグループが
28348,"okay, well, it's gonna lake us some time to get there.",少し時間が掛るから 待っていてくれ
28349,we have come from the hue to kirino's asia department.,アジア部門から来た桐野さんに かっさわれて。
28350,he looked me in the face and he said,彼は私の顔をのぞき込んで 言いました
28351,rast is headed that way.,お前に任せる
28352,"please, do. i'm an athlete.",俺はアスリートだ
28353,i do.,食べるわ
28354,the treasurechest of your good friend bob van camp.,カンプの金庫の 中身だ
28355,"you all right, man?",やったな!
28356,are you completely mad?,狂っているのか?
28357,it's a bugsweeper.,盗聴器探知器だ
28358,you want white?,赤? 白?
28359,say...,私も!って言うか
28360,we speak about 250 million refugees,2050年には難民の数が
28361,and make the world more just as well as more safe.,世界をより 公正で 安全な場所にすることでしょう
28362,"when we remind people about their morality, they cheat less.",ところが モラルに少しでも触れたとたん 不正は減ります
28363,i looked them up on amazon. they weren't there.,アマゾンで探したけど 見つからなかった
28364,we haven't actually got any coffee.,コーヒーが切れてる
28365,right! that's enough of that.,もう十分です
28366,"aurelio, you always make be blush.",やだ アウレリオったら いつも恥かしくなっちゃう
28367,girl dog. i want a girl dog.,彼女じゃなく犬を・・
28368,"because if we can't protect the earth, you can be damn well sure we'll avenge it.",地球が滅ぼされたら 復讐してやる
28369,this is bad. i wonder if something happened.,大変だわ 何かあったのかしら
28370,come on.,断片的に来るの
28371,i think you don't really trust me.,お前 あのまま 信じてくれないと 思ったよ~。
28372,his fear is the reason his wife died.,奴の恐怖の原因は妻の死
28373,"will begin to curl, and what actually will happen then",中のバイメタルが湾曲し始めます
28374,but i do not understand.,だが 分からないのだ
28375,it's time for you and your family to pack up. leave town.,家族と荷作りして 街を出た方がいい
28376,please don't misunderstand me.,勘違いしないでくださいね
28377,"and i said, well, that's fine;",私はそれでも結構ですから
28378,"let's see some i.d.! all right, you're under arrest!",身分証を見せろ
28379,and this is what we turn them into.,こちらはケアを受けた後です
28380,don't be ashamed.,恥じゃない
28381,love .... this is not a duster!,恋愛...。 これ ダスターじゃない!
28382,if you know me that well then allow me to set my proclamation in stone.,そこまで私を知っているのなら 言わせてもらうは
28383,you'll get maybe six or so that have standing structures.,多分6チームぐらいは建っている構造体を作るでしょう
28384,"claire, will you please man the cameras in my absence?",クレア 留守中カメラを頼む
28385,"i'm still doing this project, but it is obsolete",プロジェクトは継続中ですが もはや時代遅れ
28386,please help!,お願い 助けて!
28387,more than you.,あなたよりはマシよ
28388,you get into fights every day and you can't hold a job.,兄さん 毎日 ケンカばかりしてるし
28389,i will happily loan you my ears if it means getting mariana castillo back alive and well.,それで マリアナ・キャスティロが無事に 戻ってくるなら 喜んで あなたに従いますよ
28390,what the hell are you doing?,何しやがる!
28391,it increases the lv of one gagagamonster in my hand by 1,手札から ガガガと名のつく モンスター1体のレベルを1つ上げて
28392,what does creation mean?,では このcreationという意味は 何でしょうか?
28393,"because you drew so well, i'll give you this.",はい 上手に描けたから これ あげるね
28394,"oh, pishposh. i'm not about to let the poor child go hungry.",空腹なのに ほっとけないわ
28395,"look at this! i mean, look at that! who'd build something like that?",見てみろ 誰がこんな物作ったんだ
28396,and 40 percent of the world,世界人口の40%が
28397,"the black market bazaar only accepts bitcoins, a digital cryptocurrency.",闇市場は ビットコインを受け入れるだけ デジタル潜在通貨
28398,"i wanna understand. babe, i do it for you.",知りたいのよ
28399,"i don't know about you, but i'm done playing the sidekick.",君はどう考えているか知らないが 私は相棒だと考えている
28400,he also made this tea.,このお茶も ウコバクがいれたんだぜ。
28401,the right of assembly and the right to demonstrate are restricted there.,集会とデモの権利が 制限されているのです
28402,you're causing us to work overtime after all,現場には 超過勤務でムリをさせるし
28403,"joshua said anna laid soldier eggs, thousands of them.",いずれ数千の卵が孵化 ソルジャーが実戦投入されれば...
28404,"we're always in our house, and that's just how it's got to be.",いつも家の中だけど、 それが「現実」なんだ。
28405,"we're all the same, really.",実は、そんなに変わらない。
28406,what?! president's secretary?,ちょっと 社長秘書ってどんなだと思うの?
28407,taken from the police national computer,全英警察データから 可能な限り似た―
28408,"oh, yes, and if it's not too much trouble, a telephone.",そうだ もし良ければ... 電話も
28409,and what is this?,名前は何というのですか?
28410,"sym dyne cybernetics,a company you've been working with.",シムダイン・サイバネティクスという会社 その仕事をしてるわね
28411,we have to get going.,行かなきゃ。
28412,"so, you want mom to know? you want to destroy her life?",母さんに知ってほしいと? 人生ぶち壊したいのか?
28413,"doctor, this isn't a time to be joking.",先生 冗談を言ってる場合じゃないんですよ
28414,"you know, the usual thing:",そう よくある事ですね
28415,you can see it there in the middle next to all the grappling hooks.,握り手が並んでいる途中にあります
28416,"now we may be partners, and we might even be friends, but, um, i'm still a cop.",今はパートナーかもしれない そして、友人かも でも、うーん、まだ警官だわ
28417,do you still fancy me?,今でも私を愛してる?
28418,if you save me!,いいの! 私のことは もう放っておいて。
28419,then why didn't you explain it before?!,どうなんすかね...。 俺 何の説明も受けてねえ...!
28420,"technology, blackberry, sms.",ブラックベリー smsといった技術が普及し始めました
28421,but i have confirmed that he's got an outer layer of protein polysaccharides.,表皮はタンパク質で 出来ているようだ
28422,it's harsh.,辛いやろなぁ。
28423,professor nagumo's scientific theories and all.,正直 どうでもいいです。
28424,he's pakistani intelligence.,パキスタンの諜報員だ
28425,amazing!,しかしすごいよねぇ
28426,but last time,ですが 前回は
28427,i'll be back.,また戻って来ます
28428,poppet. oodles of love and heaps of good wishes from cam.,たっぷりの愛と どっさりの 良い願い CAMより
28429,let god arise!,"主の到来を!
he asked me to come.	なんか 呼び出されちゃって
invest in me! right?	投資して下さい!」 とか
on the next golgo 13; room no. 909	次回「ゴルゴ13」 「落日の死影」
no offense, but you're not capable of understanding the relationship.	ごめん、その関係がよく分からない
thanks to shinpachisama, my data was protected.	新八様のおかげで 私のデータは護られました。
that sound, flash of light... what was that ?	あの音と光は...何があったの?
thanks for telling me that.	へえ 何撮ってんのかと思えば
just what is going on here?	なっ なっ 何だと!
what is this?!	何を今さら...。
they actually roll automatically to their side	体を自然に傾けて
when he became deaf suddenly, ...	突然 難聴になって➡
what do you mean weakness?	姉ちゃん。 今の どういうことだよ。
both from here and everywhere.	イスタンブールに行ったことがある方は
how on earth did we do that?	信じられないな
how about i make you a nice cup of tea?	その前に 美味しい お茶を入れてあげよう
yes, but it's clear that tommy volker is a very dangerous man.	ええ でも 明白なのは トミー・フォルカーは とても危険な男だということです
until i become an old lady	わたしは おばあちゃんになるまで
they have all left ako.	皆 赤穂を離れました
till we learned lesson number two:	教訓その2「既成概念を捨てろ」 を
more water.	海水をもっと飲み込む
why would i hide my suspicions?	なぜ私が 疑ってたことを隠すんだ?
i asked my dad.	父に 聞いたの。
although i know what the result will be already.	どうせ 結果は分かってるんですけどね
your heart rate is jacked.	「心臓の鼓動は高まり」
then you do feel something.	それじゃ君も何かを感じているんだ
you may be right.	案外美味しいらっきょうがぎっしりかもしれんぞ
hey, what are you doing	ちょ ちょっ 何してんだ
we went on the deck	我々は甲板に上がり
is her company now entering a tax investigation?	彼女の会社 今 税務調査入ってますよね?
the prayer robe of alamut's regent.	アラムートの摂政が祈りの時に 羽織る聖なる衣だ
it can't.	同じじゃない
body fat to the body muscles of the whole body.	そうですよ 体脂肪を全身の筋肉と比較できる体格指数インデックスがあるんです
wait. does sonny know what we do?	ソニーは僕たちが してる事を知ってるの?
where you're safe out of sight and yourself	どこなら安全 見えない所
you've gained everything.	なにもかも 手に入れたってわけだ。
and now walter's gone, too, and mom and mr. merlyn are back at it.	今は ウォルターが亡くなって ママとミスター・メルリン
thanks.	これ どうぞ ありがとう
jf: you spell it right out	ジェーン:ちゃんと言葉にしているのね
super irritating.	超うぜえ...
go, go, go. l'm in! i'm in!	乗った、行け、行け
the plan was to do it with laparoscopy	腹腔鏡でやる予定でしたが
huh? a duet?!	こっ恥ずかしい! は? デュエット?
that means you.	目的は お前と言う事になる
you look cute in my robe.	— 男物ローブをまとった君は良いな
is, well, maybe after coming to my father three times	父のもとを3度訪れて 偽薬を持ち帰った患者が
you'd have to ask him.	彼に聞いた方がいい
you got any, like, gift certificates? the wife, she, uh...	商品券みたいなもの、あるかな?
she's probably not being very useful around here.	ここじゃ ものの役に立たんじゃろう。
don't worry. when we have the money, we will return everything safely.	[tel]安心しろ。 金さえ 手に入れば 無傷で返してやる。
now you give me better advice than i give myself.	私よりもっと 優れた忠告をくれ
no, ii stashed it.	まさか そ それは別にした
excellent. nice job. hey, can i talk to you?	少しお話できますか?
take a look.	どうぞ
the united states army.	アメリカ合衆国陸軍
he knows he's better than other men.	男は自分が一番と思いたいからさ
so, gps put your driver at morningside park for a window of 25 minutes last night, right around the time some russian guy succumbs to acute lead poisoning.	運転手は モーニングサイド公園にいたみたいよ 昨日の夜、25分間何か見てたみたい ちょうどその時間に
we're not gonna help them.	誰も助けない - なぜ?
look, you know what	カムがアリソンの靴底から
how is this friend?	どうですか?
my caveman instinct of survival	生き残りをかけた 野生の本能が
please feel free to come to tell me how.	わたしの方に 気軽に言いに来てください。
well, i have been accused of many things...	俺も色々と 文句を言って来たが─
you must silently accept that fate.	ただ黙して受け入れよ。
you...	手切ったらどうするんだ
all right. aren't you gonna wish me have a good 'fright,' or something?	気をつけてって言ってくれよ
i'm going now!	所以只好趁現在出來
it's because romantic is important.	俺 ロマン 大事にしてっから!
great. thanks.	皆偉いね
they want me to be the man that i was when i was with him!	シャーロックと一緒にいる時の俺だ!
damn it, jim, stand still!	ジム じっとしてろ!
so what we waitin' on?	何を待っているんだね
okay, skipper. if morbius comes out, we'll call you from right here.	大丈夫だ、艦長 そして、もし モービュース博士が出てきたら連絡する
aand what if dolphins were actually aliens from another galaxy?	イルカが本当は 別の銀河系から来た 宇宙人だったら?
richard, do something about the fish tank.	リチャード 水槽を何とかして
hi, we're in a hurry. we're actually looking for a book that could save lives.	実は 大切な本を探してるの
because i know i'll never be like him.	彼のようには決してなれない
and possibly thank you...	直接会って、あなたに御礼を言いたいのに・・・。
about time, corporal. that soup's gonna boil!	着いたわ!
done anything.	何もしていない
that's okay to praise that customer	そりゃあの客を褒め過ぎだね
easy. easy. easy.	落ち着いて
i remember now!	思い出した
so instead you lie to my face... well, what do you want me to say?	その代わりに私の顔に...
he can't fight...	戦えねえだろうなぁ。
you want to be an exorcist and you don't even know that?	ああ... お願いします。 そんなんも知らんで
we're going to malibu. we're staying	マリブに行こう - ここに残るの
women only need to know how to read and write kana	おなごは 仮名の読み書きだけ できればいいど言うげんじょ
[mike] but the place of planet is sparsely open.	[マイク]だが 遊星の場は がら空き。
the processes by which we resolve disputes through official channels.	公的な手段を 通じて争議を解決するプロセスです
why are so many people striving to be normal?	なぜ多くの人は懸命に 普通になろうとするのでしょう?
no way, there's only 5 guys.	ウソ... 男 5人だけかよ。
create sacred spaces at home	神聖な場所を家に作ってください
what did you mean?	どういう事だ
if you are	共和主義者の方は
it was there when you showed up.	お前が現れる前には、あった。 .
i was there.	彼らが破壊するのを見た
i should've brought tools with me.	次の人生 セミになりたい! 何か道具 持ってくりゃよかったな。
he went to work in the morning, came home at night, didn't talk about it.	朝、出勤して、夜に帰宅する
in other words, it is the water of life.	つまり命の水
including, perhaps, the most important application of all	とりわけ重要なのは 考え方を学ぶ時に
we'll be back after this commercial break.	ここで いったんcmです
stop!!	早く 瀬乃宮を止めろ!
they're all doing it for the purpose of saving lives.	ただ 人命を救助するという目的のために 働いています
it's normal.	それが普通だよ。
ooh, and we eat you up.	なんてかわいいの
what will you look like, how much hair will you have	どういう風貌をしているか 髪がどのくらい残っているか
the trick is to carry it out to your car like you own it.	秘訣は 自分のものって 顔すること
it seems that mr. sloan's foster brother jason	スローン氏の 里子の弟ジェイソン
is trying to be undetected.	察知されまいとする事でしょう
dedicated to researching	調査を続けてきたのは
she's gonna take the magic in here and put it in there.	この本の魔法を... ここに入れるってことよ!
so i'm gonna stand out in my program.	研修で頑張るつもりだ
with chad's group at brown	ブラウン大の チャドのグループと
s she can't help herself, can she, right? she has to find something to worry about.	君の母は 限度を知らないのか?
this is a strange town, you see.	この町は不思議な町でね
this village of kirana was saved by yoshihikosama during the maou quest.	我がキラナの村は魔王退治の際
the second drone ship is armed and ready for battle.	2隻目のドローン船の準備が整っている
i want to know where she lives no matter what, it's worrying me.	すいません 寝坊...。
pardon me, your majesty. the champagne needs a moment to chill.	シャンパンは冷えてないと
are you okay?	大丈夫だって。➡
that susano'o jutsu... it seems to be awfully risky.	《サイ:なんか ナルトとサクラを見ているようだな》
the road fights back, the plan gets jacked.	険しい道程になる筈だ
you been on edge ever since he got here.	奴が来て以来 ずっとイラついている
the other archer's moved to the next level.	他の射手は 次の段階に移った
what's with that soul?	雪? なんだそりゃ?
and while i've tried to make my images not too graphic	私のイメージをあまりビジュアルにするつもりはないのですが
beats me, youre bothering me	暑苦しくて うっとうしいよ。
and the others during lunch, right?	昼休み 風見くんや勅使河原くんと一緒にいましたよね
now that i think about it	考えてみれば
if that's what you think, then i'll do my best.	そうなれるように頑張ります
after this, it's all up to hikarisan.	あとは ヒカリさんの意志に 任せたいと思います。
i'm just curious.	ただ気になったの
well, that uses anonymous companies too.	そこでも ダミー会社が使われています
nice to meet you!	初めまして
i didn't know we had a doorbell.	そうみたい
that i chose to look at sex comes from my background in hivaids	セックスに目を向けることにしたのは 私がhivやエイズについて
that's not harima mika...	張間美香じゃない...
were not friends.	友達じゃないです。
right now.	すぐよ
all right! i'm going to bring a boyfriend here before it's gone.	きっと 彼氏を連れてきてみせるわよ
but in time, you'll move on to the next phase.	だが いずれ 次の過程に進む。
you veto to the meter, chris.	君は地下鉄に 行っていいよ
miki also came.	美樹が来たことも。
at the time of the uprising	暴動で
you take that. keep going until you hit westcliff.	そしたらここを ウエストチーフに着くまでそのまま行って
what we see here, those brown trees, these are really dead trees.	ご覧いただいている褐色の木は 実は枯れています
a glossy metallic surface	ある種の甲虫のような 光沢のある
good morning everyone!	おはようみんな!
i can get...	僕は できる。
haydn thought he'd write a symphony to make the point.	ハイドンは交響曲で気持ちを伝えることにしました
we have to get them back.	連れ戻しましょう
is that what we thought	密集した環境での
i think it adds a huge amount.	これが与えるインパクトは大きい
you are special. no.	特別な人間...
they're not ready for this.	まだこの件の 準備が出来ていない
chief komiya is pretty strict, you know	小宮係長 甘くないわよ。
as long as you didn't overdose them and kill them.	やり過ぎて 死なせなければですが
is no room for sympathy.	同情の余地なんてありません
in shinjuku, a few months ago	新宿で ここ数か月
i can't get married. eh?	結婚できません えッ?
the identification card was a small simple piece of paper	IDカードは 単純な紙カード
my life hasn't changed.	人生は変わってない
red demon's dragon have... became two now!	レッド・デーモンズ・ドラゴンの召喚に 成功したぞ。
it's not all there is to it.	糸口は一つじゃない
the first step is to strengthen your control over your chakra element.	これは 自来也ちゃんが 最初に書いた小説じゃ。
you remind me of myself at your age.	私の若い頃に似てる
and killing people, i love it, you clearly do, too!	人とか殺すのも好きだろ? 俺もだぜ!
we're very grateful to you, tate, for how you helped my family.	君には感謝してる テイト ある意味 家族を助けてくれた
get over here! get over here!	こっちだ こっちだ
over these 10 years, 40 million dollars in affordable financing	この10年間で 4000万ドルを融資できるまで成長
i swear!	誓うわ!
i don't know.	何故だろう
through this means.	この方法で行ってくれる事を願っています。
so that they could create or recreate their cities of god	「神の都市」を作ろうとしていた頃
no more stops on your guided tour.	もう二度と違う場所に行かせるな。
rerouting via raw street seven niner.	79道路経由に変更だ
but i didn't.	だが 俺はできなかった
as you wish, mamma. i'll go all the same.	私の知ったことじゃない とにかく出てく
i was her little confidant, her plaything.	私は彼女の腹心で おもちゃだった
puberty link with psychic phenomena?	思春期と心霊現象"
28430,only thing missing is a centrifuge. you have to see this.,あなたはこれを見ないと cc交通カメラからの映像よ
28431,it will be easy to match the fingernail to you.,あなたの指の爪と一致するわ
28432,sort of an interesting thing.,なかなか興味深いことです
28433,matobo?,マトボか?
28434,"oh, handsome bobby was a pretty big story.",ハンサム・ボビーは かなり大事件だった
28435,so i'm almost uptodate with my story.,もう私の話を終わらせる時が来た
28436,"sorry, but i'm busy now.",あの 私の父は 殺されたんでしょうか?
28437,$265 paid by butch hill,265ドルがブッチ・ヒルから―
28438,last call was from volker's office.,最後の電話は フォルカーのオフィスからでした
28439,there are.,酒は、あるか?
28440,excuse me.,失礼します。 やけになってんな おい!
28441,look after him for me.,アイツのこと よろしく頼んだよ。
28442,of all developing countries.,一人当たりの所得が ほぼトップになります
28443,how do you know if you're dead?,死んでるなら どうして分かったの?
28444,"hey, just because i'm following you does not mean i am following you.",君に付いて歩いてるのは 君に従ってるって、意味じゃないからな。
28445,this is ridiculous.,ばかね?
28446,one of the most interesting revelations,興味深い事実は
28447,"all right, b team, advance to target.",Bチーム 前進
28448,it didn't work.,逆だった
28449,her disease is getting worse. poor thing.,その子の病状は悪化してる 可哀想に
28450,evil entity...,凶悪な実体... .
28451,even i didn't know anything,俺っちもカミさんのこと
28452,someone took their time.,手間をかけてるね
28453,"oh! speaking of stalkers, that foureyed assassin",あっ! ストーカーといえば 例の あのメガネの始末屋な➡
28454,be careful...,コイツは預からせてもらう。
28455,working.,よく学べ
28456,and she claimed to be the general manager of red cross,自分のことを商工会議所支部の
28457,like thomas and martha wayne being killed?,ウェイン夫妻殺害?
28458,i heard everything you said.,全部聞こえてたぞ
28459,it's the weekend. it won't ship until monday at the earliest.,週末で未出荷だし 早くて月曜日
28460,"i mean, i cut through three years of engineering meetings, design",つまり、3年にわたる技術ミーティング、設計、
28461,it threatens the flow of love.,愛情の流れを脅かしているのです
28462,"oh, i... yeah, i'd do her, i'd do her",彼女で 彼女で
28463,it's important data.,重要なデータだと思うんだ
28464,"right about what, chris?",どうして クリス?
28465,it was my first time outside with a boy.,男の子と外で会うのは 初めてだったから
28466,"there's nothing wrong with a bit of silence in a talk, is there?",ちょっと沈黙したからって
28467,that's different ... i know ...,違うよ あれは... 分かってます
28468,"and said, nigel, you need to pick our youngest son",ナイジェル 一番下の子のハリーを学校に迎えに行ってあげて”
28469,"actually, i really do.",俺はやるぞ
28470,if it is a freighter.,もし貨物船なら...
28471,didn't we do them enough harm?,じゅうぶん暴れたろう?
28472,here i go!,ここは?
28473,the thing is that she's too young to marry.,嫁にやるのは未だ早いと 考えてるんだが
28474,"my aunt had one of those dots on her, to target the radiation.",俺のおばさんにも 同じ斑点があった 放射線を当てる部分だ 肺ガンか?
28475,how did we get here,一体どうして
28476,the supporter comes to kill its owner.,サポーターってのが持ち主を殺しにくるそうだ
28477,and what did she say?,彼女は何と?
28478,"see you in the morning, james. double, sometime triple shifts.",2つ・・・ 時には3つ 掛け持ちで
28479,"i know it's not enough for what happened tonight, but...",今夜の事で 十分じゃないのは分かってる でも...
28480,"matternet, where they figured out that you could",アフリカの村から村へ
28481,so i really didn't want to use it until the very last moment.,ほんとは ギリギリまで 使いたくはなかったんだけどな。
28482,do you guys have any interest to work for me?,そんな事よりさぁ 2人とも うちの店で働く気ない?
28483,i don't know.,憤慨してるのは知ってる
28484,is that what happened?,まさか彼の犬が?
28485,did you have enough already?,もう やめとく?
28486,it certainly is the hardest thing to bear when,確かに 生きてるのか 死んでるのかどうかも
28487,and you unlocked my mind.,あなたは俺の心を 解き放ったんだ
28488,please bring him or her to the thornton high school gym,正午から4時の間に ソーントン高校の体育館まで
28489,in the fourth century a.d.,エチオピア文字が発明され
28490,i think we've evolved four very broad personality types,脳内の4物質の比率と関連する
28491,"quick, hurry! hurry!",急げ 急ぐんだ!
28492,what did you give him?,君は彼に何を話した? - オリバー!
28493,"it's a house of cards. once it starts, it's just gonna tumble. all of it.",本当にそう思うか 騙されるな 一旦着手すれば...
28494,my name is aaron.,僕はアーロン
28495,give me the fucking book!,返せ!
28496,draw them away?,引き離すだって?
28497,mannequins are calling you,あら あんたピート?
28498,beverly!,ベバリー
28499,and a mobile phone gives you individual freedom.,さらに皆さんに個人としての自由を与えてくれます
28500,at least deny it!,そこ 否定しようよ。
28501,"doctor, what's she doing now?",ー先生今は何?
28502,"oh, the same as my granddaughter!",おお! 孫と同じじゃ。 ヘヘヘッ。
28503,"baby, that don't make any sense. of course it makes sense.",それって意味があるの?
28504,what are you doing!?,ブルマさん! 何やってんですか。 早く追いかけて!
28505,where's the rest of my meth?,残りはどうした?
28506,take it to brendan.,それは ブレンダンに。
28507,then i paid my entire way through first year university at carlton,カールトン大の最初の年の学費は
28508,and we made a baby.,そして、僕達の「ベイビー」ができたのです
28509,i did get some nice sausages.,ソーセージを持ってきた
28510,ready... go.,せ~の...。
28511,"the guy killed three fucking colombians. plus, we have blood evidence that puts sirko at the scene.",奴はコロンビア人を 3人も殺してる
28512,i just wanted to,念のため ホテルの人に 様子を見てもらおう。
28513,"usagisan, how did you do on your test?",うさぎさん テスト どうでした?
28514,many of them experience a sense of responsibility for what happened.,彼らの多くは経験しました 責任感を 起こった為に
28515,"what a pain, that type. seems like all he'll want to do is argue about theories.",めんどくせえな ああいうの。 理屈ばっか こねそうで。
28516,"the answers are yes,i disliked her, no,i didn't kill her.",ええ そうよ 私は彼女が嫌いだった でも殺して無いわ
28517,you didn't call. you're grounded for a week.,外で待っていた・・ 電話くれないから
28518,one of the things he raved about was that a particle accelerator experiment,ユナボマーは熱弁しました 粒子加速器の実験は
28519,"because of his illness, my father has been known to do things like putting his glasses in the refrigerator.",病気のせいで 冷蔵庫の中に 老眼鏡を置いたりしてましたから。
28520,governments should fund sanitation,政府が道路、学校
28521,"actually won the clio awards, so it's funny how you can do",クリオ賞を受賞しました ですからこれは
28522,"okay, good.",そうか よし
28523,where did they go?,どこに行ったんだ?
28524,and if i'm gonna turn this loser into a winner,勝者から敗者になったら
28525,you know mine.,君こそ知ってるだろう
28526,yo!,はい? よう
28527,no football today?,今日は、サッカーがない?
28528,some sort of analog of happiness into a computer brain to make it work properly?,コンピュータの頭脳と一緒にしなければ上手く機能しないのでしょうか?
28529,but he's not the devil.,だが悪魔じゃない
28530,you underestimated his resolve.,彼の決意を 甘く見ておられるのでは
28531,bree was surprised to find,ブリー・バンデカンプは情事を重ねていた
28532,jesus christ.,嘘でしょ (イエス・キリスト)
28533,i think so.,そうみたい
28534,off duty?,今日は非番?
28535,i got the alley.,俺は裏道に
28536,only to me? that punk maeda,僕にだけ? 前田の野郎な
28537,"ever since the war, i prayed that god might send me a family that i could care for.",戦争以来 祈り続けた 大切な家族の為に
28538,i heard this from mr. yamazaki.,山崎課長から聞きました。
28539,"yes, i know.",乗り越える試練は分かってる
28540,"so these guys have supersoldiers, an expert military strategist, and a clairvoyant who can see the future.",スーパー・ソルジャーに軍事戦略家、 そして、未来を見通す透視能力者までいる、 勢揃いね。
28541,isn't that good enough?,十分いいじゃない
28542,"of developing in industrialized countries, which is wrong.",発展途上国と工業先進国の常識が間違っていること。
28543,"dad, where are you? !",パパ どこなの?
28544,it'll be christmas soon.,「じきに、Xmasだね」
28545,oh... uh...,あッ!
28546,"if we can make good use of it, we'll be able to get out of here!",あいつをうまいこと利用できれば 俺たちはここから脱出できる
28547,we didn't receive any phone call too.,九ちゃん まだ 出勤してないし 家に電話しても来ないし」。
28548,"so, what can we do about this? oh, by the way, we're overdue.",それで 何ができますか? あ!ところで時間が超過してます
28549,but i'm,でも...
28550,jonah came home from work and saw trinity push sally down the stairs and begin to beat her.,仕事から戻ると 奴が 妻を階段から 突き落とし 殴り始め
